,Tweets,len,ID,Date,Source,Likes,coordinates,timestamp,SA
84,"? 1 hora ? https://t.co/VBc0brnKmv

#JuntsxCat https://t.co/pSoSG3vgAT",70,943187357691535360,2017-12-19 18:32:44,Twitter for Android,1353,,2017-12-19,0
85,"El país no està malalt, està ocupat. El #21D veurem si la ciutadania està d'acord en fer una genuflexió davant el 1… https://t.co/9FuYaqnEE7",140,943153558312153088,2017-12-19 16:18:25,Twitter for Android,9884,,2017-12-19,0
86,RT @elnacionalcat: Un grup d'eurodiputats denuncien a Estremera que no els permeten veure els presos https://t.co/1tv93VGak9,124,943147014711324672,2017-12-19 15:52:25,Twitter for Android,0,,2017-12-19,0
87,"RT @PuigGordi: Una reflexió en les darreres hores de campanya, però pensades pel demà més immediat  https://t.co/CusufdMaIb",123,943146806522863616,2017-12-19 15:51:36,Twitter for Android,0,,2017-12-19,0
88,"El Ministerio de Interior explica #QuéHacerEnUnAtentado. Afegeixo 4 recomanacions:

? No empresonar el polític que… https://t.co/QbqGimGlk7",139,943074004193169408,2017-12-19 11:02:18,Twitter for Android,12675,,2017-12-19,0
89,RT @FT: Exiled Carles Puigdemont plots Catalan election comeback https://t.co/GFGxhHftbq,88,943071204172292096,2017-12-19 10:51:11,Twitter for Android,0,,2017-12-19,0
90,RT @FT: Two months ago ousted Catalan leader Carles Puigdemont's future looked bleak. Now his party is rapidly climbing in the polls https:…,140,943071194252705797,2017-12-19 10:51:08,Twitter for Android,0,,2017-12-19,-1
91,"RT @ARApolitica: Puigdemont: "" ""Si no retiren les causes és que no estan respectant la democràcia i  aleshores Espanya no té un problema am…",140,943071101088948224,2017-12-19 10:50:46,Twitter for Android,0,,2017-12-19,0
92,"RT @JuntsXCat: ?? president @KRLS: “Rajoy no pot liquidar el 130è president de la Generalitat""

? Entrevista a @elpuntavui 
? Llegeix-la: h…",140,943070867277385728,2017-12-19 10:49:50,Twitter for Android,0,,2017-12-19,0
93,"RT @JuntsXCat: ?? president @KRLS: ""El #21D hemos de elegir entre quien quiere minorizar el país, provincializarlo, hacerlo sucursal de Mon…",140,943070792794898432,2017-12-19 10:49:33,Twitter for Android,0,,2017-12-19,0
94,"El pla de Ciutadans, PSC i PP per ""cosir les ferides de la societat catalana"". La política dels ""a por ellos"", dels… https://t.co/qUVxFGazAx",140,942895181057220609,2017-12-18 23:11:43,Twitter for Android,9562,,2017-12-18,0
95,"RT @jordialapreso: A partir del 22 caldrà molta capacitat de diàleg, de fer política en majúscules, de buscar acords per seguir avançant fi…",140,942845328931409920,2017-12-18 19:53:38,Twitter for Android,0,,2017-12-18,0
96,"El #21D no va de persones, va de mantenir la continuïtat d’una institució històrica. Tenim la #RepúblicaCatalana pr… https://t.co/hpsvkHSJCs",140,942793648193892352,2017-12-18 16:28:16,Twitter for Android,7886,,2017-12-18,0
97,RT @324cat: Gràcies a la generositat de la gent s'aconsegueixen 7.215.676 a #LaMaratóTV3 per investigar les malalties infeccioses https://t…,140,942551603848122370,2017-12-18 00:26:28,Twitter for Android,0,,2017-12-18,0
